project,category,file_name,extension,relative_path,full_path,size_bytes,modified,matched_by,discipline,pages_or_sheets,extract_status,text_chars,keywords,summary,risks
2022,02-工程量与计价,2022年未完成结构物剩余量表2023.3.21.xlsx,.xlsx,2022\青河G331项目\02-工程量与计价\2022年未完成结构物剩余量表2023.3.21.xlsx,D:\高治国资料\2022\青河G331项目\02-工程量与计价\2022年未完成结构物剩余量表2023.3.21.xlsx,1588206,2026-06-11 18:18:06,filename,桥涵结构,1,text-extracted,280,钢筋、结构、桥涵,工作表: 设计砼使用量 [设计砼使用量] 2022年度剩余未完成量表 使用部门：一标四工区桥涵队 | 编制人：高治国 里程桩号 | 结构物名称 | 使用部位 | 计划混凝土用量m³ | 计划钢筋用量Kg K68+227 | 桥梁2-13m | 铺装及调平层 | 24 | 4918 桥头搭板 | 73.5 | 6658 导流坝 | 291.9 K75+735.3 | 桥梁1-13m（1号台） | 台帽、背墙等 | 30 垫石、湿接缝 | 9.7 | 1557 铺装及调平层 | 20 | 2119 桥头搭板 | 73.5 | 6658 锥坡踏步 | 11.4,
2022,02-工程量与计价,3#设备用房14#钢筋下料明细表.xls,.xls,2022\青河G331项目\02-工程量与计价\3#设备用房14#钢筋下料明细表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\3#设备用房14#钢筋下料明细表.xls,2658304,2026-06-11 18:18:08,filename,房建结构,,metadata-only,0,钢筋,3#设备用房14#钢筋下料明细表,missing_text
2022,02-工程量与计价,3#设备用房16#钢筋下料明细表.xls,.xls,2022\青河G331项目\02-工程量与计价\3#设备用房16#钢筋下料明细表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\3#设备用房16#钢筋下料明细表.xls,2658304,2026-06-11 18:18:08,filename,房建结构,,metadata-only,0,钢筋,3#设备用房16#钢筋下料明细表,missing_text
2022,02-工程量与计价,3#设备用房18#钢筋下料明细表.xls,.xls,2022\青河G331项目\02-工程量与计价\3#设备用房18#钢筋下料明细表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\3#设备用房18#钢筋下料明细表.xls,2658304,2026-06-11 18:18:09,filename,房建结构,,metadata-only,0,钢筋,3#设备用房18#钢筋下料明细表,missing_text
2022,02-工程量与计价,3#设备用房楼梯钢筋下料表.xlsx,.xlsx,2022\青河G331项目\02-工程量与计价\3#设备用房楼梯钢筋下料表.xlsx,D:\高治国资料\2022\青河G331项目\02-工程量与计价\3#设备用房楼梯钢筋下料表.xlsx,22486,2026-06-11 18:18:09,filename,房建结构,1,text-extracted,940,下料表、钢筋,"工作表: Sheet1 [Sheet1] 楼层名称：3#设备用房楼梯钢筋 | 楼层名称：基础层（表格算量） | 楼层名称：基础层（表格算量） | 楼层名称：基础层（表格算量） | 钢筋总重：169.792Kg | 钢筋总重：194.472Kg | 钢筋总重：194.472Kg | 钢筋总重：194.472Kg 筋号 | 级别 | 直径 | 钢筋图形 | 计算公式 | 根数 | 总根数 | 单长m | 总长m | 总重kg 构件名称：A-A | 构件数量：1 | 本构件钢筋重：169.792Kg 构件位置： 梯板下部纵筋 | =DISPIMG(""ID_04CAB2EB2FE443B7BE684A055233443E"",1) | 10...",
2022,02-工程量与计价,3#设备用房钢筋下料明细表2024-09-09.pdf,.pdf,2022\青河G331项目\02-工程量与计价\3#设备用房钢筋下料明细表2024-09-09.pdf,D:\高治国资料\2022\青河G331项目\02-工程量与计价\3#设备用房钢筋下料明细表2024-09-09.pdf,2178636,2026-06-11 18:18:09,filename,房建结构,,metadata-only: PyMuPDF unavailable,0,钢筋,3#设备用房钢筋下料明细表2024-09-09,missing_text
2022,02-工程量与计价,3#设备用房钢筋下料明细表2024-09-09.xls,.xls,2022\青河G331项目\02-工程量与计价\3#设备用房钢筋下料明细表2024-09-09.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\3#设备用房钢筋下料明细表2024-09-09.xls,4341248,2026-06-11 18:18:10,filename,房建结构,,metadata-only,0,钢筋,3#设备用房钢筋下料明细表2024-09-09,missing_text
2022,02-工程量与计价,3#设备用房钢筋统计汇总表2024-09-09.xls,.xls,2022\青河G331项目\02-工程量与计价\3#设备用房钢筋统计汇总表2024-09-09.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\3#设备用房钢筋统计汇总表2024-09-09.xls,27648,2026-06-11 18:18:10,filename,机电/照明,,metadata-only,0,钢筋,3#设备用房钢筋统计汇总表2024-09-09,missing_text
2022,02-工程量与计价,6#圆盘北屯下料单K248+500道班2#机械库钢筋下料明细表2024-09-10.xls,.xls,2022\青河G331项目\02-工程量与计价\6#圆盘北屯下料单K248+500道班2#机械库钢筋下料明细表2024-09-10.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\6#圆盘北屯下料单K248+500道班2#机械库钢筋下料明细表2024-09-10.xls,3368448,2026-06-11 18:18:10,filename,房建结构,,metadata-only,0,钢筋,6#圆盘北屯下料单K248+500道班2#机械库钢筋下料明细表2024-09-10,missing_text
2022,02-工程量与计价,6#圆盘北屯下料单K284+800道班2#机械库钢筋下料明细表2024-09-10.xls,.xls,2022\青河G331项目\02-工程量与计价\6#圆盘北屯下料单K284+800道班2#机械库钢筋下料明细表2024-09-10.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\6#圆盘北屯下料单K284+800道班2#机械库钢筋下料明细表2024-09-10.xls,3368448,2026-06-11 18:18:12,filename,房建结构,,metadata-only,0,钢筋,6#圆盘北屯下料单K284+800道班2#机械库钢筋下料明细表2024-09-10,missing_text
