公路、市政工程劳务分包/专业分包指导价												
项	序号	编号	细目名称	单位	指导价（元）		费用组成（采用反向描述的方式，列举出所有甲方承担的费用，除此以外的全部费用由乙方承担，费用包含在单价中）				计量规则	工作内容
					单价	调价	甲方提供材料及限额损耗率	甲方提供的周转材料	甲方提供的机械、设备费	施工措施等其它费用		
一			路基工程									
		031	预应力锚索φ≥130mm	m	130.0	/	甲方提供锚索、锚具，损耗率0%；混凝土，损耗率1%	/	/		按设计图示尺寸以米计算	脚手架搭拆；钻孔、清孔；锚索、锚具制安；砂浆配料(含外加剂)、拌制、锚固段注浆；锚墩混凝土浇筑；锚索张拉，张拉段注浆，锚头封闭防护；防腐处理等全部工作内容
		032	路基附属干砌片石	m3	150.5	片石1.15m3	/	/	/		按设计图示尺寸计算实砌体积	选、修石料，搭、移跳板，砌筑、勾缝、养生、材料倒运
		033	浆砌片石护脚（含人工开土槽）	m3	239.065	片石1.15m3，砂浆0.35m3	/	/	/		按现场实际完成合格工程量计量	人工开挖土槽，并运至工作面外30m，修整边坡及沟槽底面清理，拌、运砂浆，选、修、运、破碎石料，搭、移跳板，砌筑、勾缝、养生等全部工作内容
		034	路堤浆砌片石骨架（含人工开土槽）	m3	319.065	片石1.15m3，砂浆0.35m3	/	/	/		按现场实际完成合格工程量计量	人工开挖土槽，并运至工作面外30m，修整边坡及沟槽底面清理，拌、运砂浆，选、修、运、破碎石料，搭、移跳板，砌筑、勾缝、养生等全部工作内容
		035	路堑浆砌片石骨架（含人工开土槽）	m3	329.065	片石1.15m3，砂浆0.35m3	/	/	/		按现场实际完成合格工程量计量	人工开挖土槽，并运至工作面外30m，修整边坡及沟槽底面清理，拌、运砂浆，选、修、运、破碎石料，搭、移跳板，砌筑、勾缝、养生等全部工作内容
		036	浆砌片石边坡	m3	269.065	片石1.15m3，砂浆0.35m3	/	/	/		按设计图示尺寸计算	拌、运砂浆，选、修石料，搭、移跳板，砌筑、勾缝、养生、材料倒运等全部工作内容
		037	浆砌片石水沟	m3	259.065	片石1.15m3，砂浆0.35m3	/	/	/		按现场实际完成合格工程量计量	人工开挖土槽，并运至工作面外30m，修整边坡及沟槽底面清理，拌、运砂浆，选、修、运、破碎石料，搭、移跳板，砌筑、勾缝、养生
		038	挡土墙基础混凝土	m3	60.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算实砌体积	备料；模板及支撑制作、安装、拆除；混凝土配运料，拌和、运输、浇筑、捣固、养生；搭、拆脚手架等全部工作内容
		039	挡土墙墙身混凝土	m3	125.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算实砌体积	备料；模板及支撑制作、安装、拆除；混凝土配运料，拌和、运输、浇筑、捣固、养生；搭、拆脚手架等全部工作内容
		040	挡土墙浆砌片石	m3	244.065	片石1.15m3，砂浆0.35m3	/	/	/		按设计图示尺寸计算实砌体积	选、修石料；拌、运砂浆；搭、拆脚手架；砌筑、勾缝，养生；沉降缝胶泥制作与填抹；排水空下的胶泥铺设与孔口填石、材料转运等全部工作内容
		041	路基护坡种草	m2	1.5	/	/	/	/		按图纸所示尺寸并经验收合格以平方米为单位计量	撒草籽，施肥、洒水等全部费用。
		042	路基植草皮	m2	4.5	/	/	/	/		按图纸所示尺寸并经验收合格以平方米为单位计量	铺草皮，施肥、洒水等全部费用。
		043	喷播植草	m2	6.5	/	/	/	/		按图纸所示尺寸并经验收合格以平方米为单位计量	喷播植草，施肥、洒水等全部费用。
		044	三维网植草	m2	18.0	/	/	/	/		按图纸所示尺寸并经验收合格以平方米为单位计量	清理边坡，拌料，挂网、制作安装U型钉、现场喷播，施肥，浇水，覆盖透水土工膜养护，清理场地，成活率100%。
		045	水沟盖板预制（500*500mm）	m3	240.0	/	甲方提供砼、损耗率1%以内	/	/		按现场实际完成合格工程量计量	模具安装、拆除、维护，钢筋下料、加工、绑扎、安装，砼浇注、振动、养护，成品堆码场地内材料运输等全部工作内容
		046	水沟盖板运输安装（含运距5km）	m3	150.0	/	/	/	/		按现场实际完成合格工程量计量	运输、挂线、座浆、安装等全部工作内容
		047	小型构件预制（0.015m3以内）	m3	280.0	/	甲方提供砼、损耗率1%以内	/	/		按现场实际完成合格工程量计量	模具安装、拆除、维护，砼浇注、振动、养护，成品堆码场地内材料运输等全部工作内容
		048	小型构件预制（0.015m3以外）	m3	240.0	/	甲方提供砼、损耗率1%以内	/	/		按现场实际完成合格工程量计量	模具安装、拆除、维护，砼浇注、振动、养护，成品堆码场地内材料运输等全部工作内容
		049	小型构件钢筋制安	t	550.0	/	甲方提供钢筋、损耗率1%以内	/	/		按实际安设的钢筋长度计算，搭接长度不计	钢筋按图纸下料、制作，焊接、绑扎并经验收合格，制作安装保护层水泥垫块等全部工作内容
		050	小型构件运输安装（含运距5km）	m3	150.0	/	/	/	/		按现场实际完成合格工程量计量	运输、安装场地整理，铺装，勾缝等全部工作内容
		051	C20排水沟混凝土浇注	m3	70.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算	模板制、安、拆、灌注砼、振捣、养护等全部工作内容
		052	护脚、路肩混凝土浇注	m3	70.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算	模板制、安、拆、灌注砼、振捣、养护等全部工作内容
		053	现浇护坡（不含骨架）	m3	120.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算	模板制、安、拆、灌注砼、振捣、养护等全部工作内容
		054	现浇拱形骨架护坡（含人工开土槽）	m3	300.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算	模板制、安、拆、灌注砼、振捣、养护等全部工作内容
		055	过渡段回填混凝土	m3	50.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算	模板制、安、拆；支撑搭拆；砼浇筑、振捣、养生等全部工作内容
		056	锥体护坡、检查台阶M10浆砌片石	m3	288.82	片石1.15m3，砂浆0.35m3	/	/	/		按现场实际完成合格工程量计量	人工开挖土槽，并运至工作面外30m，修整边坡及沟槽底面清理，拌、运砂浆，选、修、运、破碎石料，搭、移跳板，砌筑、勾缝、养生等全部工作内容
二			路面工程									
		001	水泥稳定碎石摊铺（厚150mm）	m2	4.0	/	水稳料，损耗率0%	/	/	甲方负责建站；甲方负责电接至施工现场配电柜处；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计计算面积计算	设备进场、安装调试；清理下承层；现场摊铺、碾压、覆盖、洒水、养生、人工辅助等全部工作
		002	水泥稳定碎石摊铺（厚180mm）	m2	4.2	/	水稳料，损耗率0%	/	/		按设计计算面积计算	设备进场、安装调试；清理下承层；现场摊铺、碾压、覆盖、洒水、养生、人工辅助等全部工作
		003	水泥稳定碎石摊铺（厚200mm）	m2	4.4	/	水稳料，损耗率0%	/	/		按设计计算面积计算	设备进场、安装调试；清理下承层；现场摊铺、碾压、覆盖、洒水、养生、人工辅助等全部工作
		004	封层	m2	1.2	/	封层、透层材料，损耗率0%	/	/		按实际收方数量计算，但不得超过设计工程量	预拌，运输，铺筑
		005	粘层、透层	m2	0.6	/	封层、透层材料，损耗率0%	/	/		按实际收方数量计算，但不得超过设计工程量	预拌，运输，铺筑
		006	细粒式沥青混凝土摊铺（厚40mm）	m2	3.1	/	沥青砼，损耗率0%	/	/		按设计计算面积计算	设备进场、安装调试；清理下承层；现场摊铺、碾压、草袋覆盖、人工辅助等全部工作
		007	中粒式沥青混凝土摊铺（厚50mm）	m2	3.1	/	沥青砼，损耗率0%	/	/		按设计计算面积计算	设备进场、安装调试；清理下承层；现场摊铺、碾压、草袋覆盖、人工辅助等全部工作
		008	粗粒式沥青混凝土摊铺（厚60mm）	m2	3.1	/	沥青砼，损耗率0%	/	/		按设计计算面积计算	设备进场、安装调试；清理下承层；现场摊铺、碾压、草袋覆盖、人工辅助等全部工作
		009	粗粒式沥青混凝土摊铺（厚70mm）	m2	3.1	/	沥青砼，损耗率0%	/	/		按设计计算面积计算	设备进场、安装调试；清理下承层；现场摊铺、碾压、草袋覆盖、人工辅助等全部工作
		010	粗粒式沥青混凝土摊铺（厚90mm）	m2	3.1	/	沥青砼，损耗率0%	/	/		按设计计算面积计算	设备进场、安装调试；清理下承层；现场摊铺、碾压、草袋覆盖、人工辅助等全部工作
		011	水泥混凝土路面(20cm)	m2	16.0	/	砼，损耗率2%	/	/		按实际收方数量计算，但不得超过设计工程量	立模板，铺筑，振捣，刻防滑槽，接缝处理，传力钢筋制作安装等全部工作内容。
		012	水稳拌合	t	3.0	/	按配合比提供原材料	/	拌合设备		按实际吨数计算	上料、拌合等。
		013	沥青拌合	t	15.0	/	按配合比提供原材料	/	拌合设备		按实际吨数计算	上料、拌合等。
		014	水稳运输 1km	t	2.0	/	/	/	/		按实际吨数计算	运输、空回等。
		015	水稳运输 增运1km	t	0.65	/	/	/	/		按实际吨数计算	运输、空回等。
		016	沥青运输 1km	t	2.0	/	/	/	/		按实际吨数计算	运输、空回等。
		017	沥青运输 增运1km	t	0.7	/	/	/	/		按实际吨数计算	运输、空回等。
		018	人行道板铺设	m2	40.0	/	甲方提供面板	/	/		按实际收方数量计算，但不得超过设计工程量	垫层及面板材料运输、垫层整形碾压，面板铺设
		019	安砌平石	m	10.0	/	甲方提供平石、砂浆	/	/		按实际收方数量计算，但不得超过设计工程量	水泥砂浆座浆安装，垫层铺设，安砌
		020	安砌侧石	m	12.0	/	甲方提供侧石	/	/		按实际收方数量计算，但不得超过设计工程量	水泥砂浆座浆安装，安砌
三			管道工程									
	01		砼管道铺设									
		001	Φ230管道铺设	m	21.329722767487	/	甲方提供管材、砼	/	/	/	按设计图纸计算	基础砼浇注、管道吊装、不含土石方开挖回填，接口采用承插连接、橡胶圈密封（详见国标06MS201-1-23）；基础做法:120°C20砼基础（详见图集 06MS201-1-1）
		002	Φ300管道铺设	m	31.9945841512305	/	甲方提供管材、砼	/	/	/	同上	同上
		003	Φ400管道铺设	m	43.7259316733484	/	甲方提供管材、砼	/	/	/	同上	同上
		004	Φ450管道铺设	m	47.9918762268458	/	甲方提供管材、砼	/	/	/	同上	同上
		005	Φ500管道铺设	m	53.3243069187175	/	甲方提供管材、砼	/	/	/	同上	同上
		006	Φ600管道铺设	m	66.1221405792097	/	甲方提供管材、砼	/	/	/	同上	同上
		007	φ800管道铺设	m	87.4518633466967	/	甲方提供管材、砼	/	/	/	同上	同上
		008	φ1000管道铺设	m	127.978336604922	/	甲方提供管材、砼	/	/	/	按设计图纸计算	基础砼浇注、管道吊装、不含土石方开挖回填，接口采用承插连接、橡胶圈密封（详见国标06MS201-1-28）；基础做法:120°C20砼基础（详见图集 06MS201-1-17）
		009	φ1200管道铺设	m	170.637782139896	/	甲方提供管材、砼	/	/	/	同上	同上
		010	φ1350管道铺设	m	202.632366291127	/	甲方提供管材、砼	/	/	/	同上	同上
		011	φ1500管道铺设	m	234.626950442357	/	甲方提供管材、砼	/	/	/	同上	同上
		012	φ1650管道铺设	m	255.956673209844	/	甲方提供管材、砼	/	/	/	同上	同上
		013	φ1800管道铺设	m	277.286395977331	/	甲方提供管材、砼	/	/	/	同上	同上
		014	φ2000管道铺设	m	298.616118744818	/	甲方提供管材、砼	/	/	/	同上	同上
		015	φ2200管道铺设	m	319.945841512305	/	甲方提供管材、砼	/	/	/	同上	同上
		016	φ2400管道铺设	m	341.275564279792	/	甲方提供管材、砼	/	/	/	同上	同上
		017	φ2600管道铺设	m	362.605287047279	/	甲方提供管材、砼	/	/	/	同上	同上
	02		钢筋砼管道铺设									
		001	φ300管道铺设	m	21.329722767487	/	甲方提供管材	/	/	/	按设计图纸计算	下管，铺管、调直，调制接口材料，管口打麻面，水泥砂浆接口、养护、闭水实验
		002	φ400管道铺设	m	27.7286395977331	/	甲方提供管材	/	/	/	同上	同上
		003	φ500管道铺设	m	31.9945841512305	/	甲方提供管材	/	/	/	同上	同上
		004	φ600管道铺设	m	42.659445534974	/	甲方提供管材	/	/	/	同上	同上
		005	φ700管道铺设	m	51.1913346419688	/	甲方提供管材	/	/	/	同上	同上
		006	φ800管道铺设	m	56.5237653338406	/	甲方提供管材	/	/	/	同上	同上
		007	φ900管道铺设	m	61.8561960257123	/	甲方提供管材	/	/	/	同上	同上
		008	φ1000管道铺设	m	66.1221405792097	/	甲方提供管材	/	/	/	同上	同上
		009	φ1200管道铺设	m	90.6513217618198	/	甲方提供管材	/	/	/	同上	同上
		010	φ1400管道铺设	m	117.313475221179	/	甲方提供管材	/	/	/	同上	同上
		011	φ1500管道铺设	m	138.643197988666	/	甲方提供管材	/	/	/	同上	同上
		012	φ1600管道铺设	m	149.308059372409	/	甲方提供管材	/	/	/	同上	同上
		013	φ1800管道铺设	m	159.972920756153	/	甲方提供管材	/	/	/	同上	同上
		014	φ2000管道铺设	m	170.637782139896	/	甲方提供管材	/	/	/	同上	同上
		015	Φ2200管道铺设	m	181.30264352364	/	甲方提供管材	/	/	/	同上	同上
		016	Φ2400管道铺设	m	191.967504907383	/	甲方提供管材	/	/	/	同上	同上
	03		钢筋砼承插管铺设									
		001	Φ600管道铺设	m	33.2743675172797	/	甲方提供管材	/	/	/	按设计图纸计算	挂线、清扫基座、成品管场内运输、铺管
		002	Φ800管道铺设	m	47.3519845438212	/	甲方提供管材	/	/	/	同上	同上
		003	Φ1000管道铺设	m	58.8700348382641	/	甲方提供管材	/	/	/	同上	同上
		004	Φ1200管道铺设	m	70.3880851327072	/	甲方提供管材	/	/	/	同上	同上
	04		UPVC加筋管铺设									
		001	Φ200UPVC管铺设	m	17.0637782139896	/	甲方提供管材、管件	/	/	/	按设计图纸计算	管口处理、对口、上件、连接
		002	Φ225UPVC管铺设	m	19.1967504907383	/	同上	/	/	/	同上	同上
		003	Φ300UPVC管铺设	m	22.3962089058614	/	同上	/	/	/	同上	同上
		004	Φ400UPVC管铺设	m	29.8616118744818	/	同上	/	/	/	同上	同上
		005	Φ500UPVC管铺设	m	31.9945841512305	/	同上	/	/	/	同上	同上
		006	UPVC加筋低压塑料管DN300	m	29.8616118744818	/	同上	/	/	/	同上	同上
		007	UPVC加筋低压塑料管DN500	m	42.659445534974	/	同上	/	/	/	同上	同上
		008	UPVC低压塑料管De32（自用水管线）	m	5.43907930570919	/	同上	/	/	/	同上	同上
		009	UPVC低压塑料管De40（自用水管线）	m	7.03880851327071	/	同上	/	/	/	同上	同上
		010	UPVC低压塑料管De63（自用水管线、加氯增压水管）	m	8.10529465164507	/	同上	/	/	/	同上	同上
		011	UPVC低压塑料管De90（加氯增压水管）	m	10.8781586114184	/	同上	/	/	/	同上	同上
		012	UPVC低压塑料管De110（自用水管线）	m	12.4778878189799	/	同上	/	/	/	同上	同上
	05		FRPP加筋管铺设									
		001	Φ500管道铺设	m	10.6648613837435	/	甲方提供管材、管件	/	/	/	按设计图纸计算	挂线、清扫基座、成品管场内运输、铺管
		002	Φ600管道铺设	m	12.7978336604922	/	同上	/	/	/	同上	同上
		003	Φ700管道铺设	m	14.9308059372409	/	同上	/	/	/	同上	同上
		004	Φ800管道铺设	m	17.0637782139896	/	同上	/	/	/	同上	同上
		005	Φ1000管道铺设	m	21.329722767487	/	同上	/	/	/	同上	同上
	06		聚乙烯双壁波纹（HDEP）管铺设									
