铁路工程劳务分包/专业分包指导价												
项	序号	编号	细目名称	单位	指导价（元）		费用组成（采用反向描述的方式，列举出所有甲方承担的费用，除此以外的全部费用由乙方承担，费用包含在单价中）				计量规则	工作内容
					单价	调价	甲方提供材料及限额损耗率	甲方提供的周转材料	甲方提供的机械、设备费	施工措施等其它费用		
一			路基工程									
		013	浆砌片石护脚（含人工开土槽）	m3	239.065	片石1.15m3，砂浆0.35m3	/	/	/		按现场实际完成合格工程量计量	人工开挖土槽，并运至工作面外30m，修整边坡及沟槽底面清理，拌、运砂浆，选、修、运、破碎石料，搭、移跳板，砌筑、勾缝、养生等全部工作内容
		014	路堤浆砌片石骨架（含人工开土槽）	m3	319.065	片石1.15m3，砂浆0.35m3	/	/	/		按现场实际完成合格工程量计量	人工开挖土槽，并运至工作面外30m，修整边坡及沟槽底面清理，拌、运砂浆，选、修、运、破碎石料，搭、移跳板，砌筑、勾缝、养生等全部工作内容
		015	路堑浆砌片石骨架（含人工开土槽）	m3	329.065	片石1.15m3，砂浆0.35m3	/	/	/		按现场实际完成合格工程量计量	人工开挖土槽，并运至工作面外30m，修整边坡及沟槽底面清理，拌、运砂浆，选、修、运、破碎石料，搭、移跳板，砌筑、勾缝、养生等全部工作内容
		016	干砌片石边坡	m3	150.5	片石1.15m3	/	/	/		按设计图示尺寸计算	选、修石料，搭、移跳板，砌筑、勾缝、养生、材料倒运等全部工作内容
		017	浆砌片石边坡	m3	269.065	片石1.15m3，砂浆0.35m3	/	/	/		按设计图示尺寸计算	拌、运砂浆，选、修石料，搭、移跳板，砌筑、勾缝、养生、材料倒运等全部工作内容
		018	挡土墙片石混凝土	m3	120.0	/	甲方提供砼、损耗率1%以内；片石	/	/		按设计图示尺寸计算实砌体积	备料；模板及支撑制作、安装、拆除；混凝土配运料，拌和、运输、浇筑（掺片石）、捣固、养生；搭、拆脚手架等全部工作内容
		019	挡土墙浆砌石	m3	244.065	片石1.15m3，砂浆0.35m3	/	/	/		按设计图示尺寸计算实砌体积	选、修石料；拌、运砂浆；搭、拆脚手架；砌筑、勾缝，养生；沉降缝胶泥制作与填抹；排水空下的胶泥铺设与孔口填石、材料转运等全部工作内容
		020	挡土墙混凝土	m3	60.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算实砌体积	备料；模板及支撑制作、安装、拆除；混凝土配运料，拌和、运输、浇筑、捣固、养生；搭、拆脚手架等全部工作内容
		021	挡土墙混凝土	m3	125.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算实砌体积	备料；模板及支撑制作、安装、拆除；混凝土配运料，拌和、运输、浇筑、捣固、养生；搭、拆脚手架等全部工作内容
		022	路基电缆槽预制	m3	270.0	/	甲方提供砼、钢筋、损耗率均在1%以内	/	/		按现场实际完成合格工程量计量	模具安装、拆除、维护，钢筋下料、加工、绑扎、安装，砼浇注、振动、养护，成品堆码场地内材料运输等全部工作内容
